# Amber offline RIR CIDR->country snapshot (geo-attribution Source 1).
# Generated by scripts/build_rir_snapshot.py from REAL RIR delegated-extended files.
# Columns: <cidr>\t<ISO2>\t<registry>. Real delegation data, not invented.
5.57.224.0/21	NL	ripencc
5.57.248.0/21	NL	ripencc
5.61.0.0/21	IT	ripencc
5.61.64.0/21	DE	ripencc
5.61.80.0/21	DE	ripencc
5.61.112.0/21	IE	ripencc
5.61.128.0/18	DE	ripencc
5.61.192.0/21	IT	ripencc
5.61.200.0/21	ES	ripencc
5.61.210.0/24	DE	ripencc
5.61.211.0/24	DE	ripencc
5.61.212.0/22	FR	ripencc
5.61.216.0/21	IT	ripencc
5.61.248.0/21	NL	ripencc
5.62.0.0/18	IE	ripencc
5.62.64.0/21	DE	ripencc
5.62.72.0/21	IT	ripencc
5.62.96.0/19	DE	ripencc
5.63.16.0/24	ES	ripencc
5.63.17.0/24	IT	ripencc
5.63.20.0/24	DE	ripencc
5.63.21.0/24	DE	ripencc
5.63.24.0/21	FR	ripencc
5.63.32.0/19	DE	ripencc
5.63.128.0/21	LU	ripencc
5.63.136.0/21	IT	ripencc
5.63.168.0/21	IT	ripencc
5.63.176.0/21	DE	ripencc
5.63.185.0/24	PL	ripencc
5.63.186.0/23	PL	ripencc
5.63.188.0/23	PL	ripencc
5.63.190.0/24	PL	ripencc
5.63.191.0/24	PL	ripencc
5.75.128.0/17	DE	ripencc
5.77.64.0/18	IT	ripencc
5.78.0.0/16	DE	ripencc
5.79.64.0/18	NL	ripencc
5.83.0.0/21	NL	ripencc
5.83.48.0/21	ES	ripencc
5.83.64.0/19	ES	ripencc
5.83.104.0/24	IT	ripencc
5.83.105.0/24	IT	ripencc
5.83.106.0/23	IT	ripencc
5.83.108.0/22	IT	ripencc
5.83.120.0/21	IT	ripencc
5.83.128.0/19	DE	ripencc
5.83.160.0/20	DE	ripencc
5.83.176.0/20	DE	ripencc
5.83.232.0/21	FR	ripencc
5.83.240.0/20	IE	ripencc
5.84.0.0/14	IT	ripencc
5.88.0.0/13	IT	ripencc
5.96.0.0/14	IT	ripencc
5.100.0.0/18	DE	ripencc
5.100.128.0/20	DE	ripencc
5.100.144.0/21	FR	ripencc
5.100.224.0/21	NL	ripencc
5.100.232.0/21	IT	ripencc
5.101.160.0/21	DE	ripencc
5.101.216.0/23	LU	ripencc
5.101.219.0/24	LU	ripencc
5.101.220.0/22	LU	ripencc
5.102.0.0/19	IT	ripencc
5.102.40.0/22	PL	ripencc
5.102.44.0/22	PL	ripencc
5.102.64.0/21	PL	ripencc
5.102.128.0/21	ES	ripencc
5.102.136.0/21	NL	ripencc
5.102.160.0/21	DE	ripencc
5.104.24.0/21	IT	ripencc
5.104.76.0/22	DE	ripencc
5.104.80.0/21	DE	ripencc
5.104.96.0/21	FR	ripencc
5.104.104.0/21	DE	ripencc
5.104.112.0/20	NL	ripencc
5.104.136.0/21	NL	ripencc
5.104.144.0/21	DE	ripencc
5.104.152.0/22	DE	ripencc
5.104.156.0/23	DE	ripencc
5.104.192.0/21	FR	ripencc
5.104.216.0/21	AT	ripencc
5.104.224.0/23	NL	ripencc
5.104.226.0/24	NL	ripencc
5.104.227.0/24	NL	ripencc
